Player,Team,Jersey,Nation,Main_Position,Positions,Age,Minutes,Goals,Assists,Penalty_Shoot_on_Goal,Penalty_Shoot,Total_Shoot,Shoot_on_Target,Yellow_Cards,Red_Cards,Touches,Dribbles,Tackles,Blocks,Expected_Goals_xG,Non_Penalty_xG_npxG,Expected_Assists_xAG,Shot_Creating_Actions,Goal_Creating_Actions,Passes_Completed,Passes_Attempted,Pass_Completion,Progressive_Passes,Carries,Progressive_Carries,Dribble_Attempts,Successful_Dribbles
Morgan Rogers,Aston Villa,27,ENG,AM,"AM,LM,LW",22,90,0,0,0,0,4,3,0,0,44,1,0,1,0.2,0.2,0.1,4,0,20,27,74,5,26,3,6,2
Youri Tielemans,Aston Villa,8,BEL,DM,"DM,CM",27,90,0,0,0,0,0,0,0,0,144,4,0,0,0,0,0,3,1,127,140,90,14,97,0,0,0
Amadou Onana,Aston Villa,24,BEL,DM,DM,23,45,0,0,0,0,0,0,0,0,36,2,1,0,0,0,0,1,1,27,33,81,2,22,0,1,1
Ross Barkley,Aston Villa,6,ENG,DM,"DM,CM",30,45,0,1,0,0,1,0,0,0,45,0,0,0,0,0,0,4,2,42,43,97,2,35,3,0,0
Lucas Digne,Aston Villa,12,FRA,LB,LB,31,68,0,1,0,0,0,0,0,0,70,2,0,0,0,0,0.7,4,1,57,67,85,4,37,0,1,1
Ian Maatsen,Aston Villa,22,NED,LB,LB,22,22,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0.6,3,0,20,24,83,1,13,0,1,0
Pau Torres,Aston Villa,14,ESP,CB,CB,27,90,0,0,0,0,0,0,0,0,129,0,2,2,0,0,0,2,1,107,122,87,5,100,5,0,0
Ezri Konsa,Aston Villa,4,ENG,CB,CB,26,90,0,0,0,0,0,0,0,0,80,2,0,0,0,0,0,0,0,67,72,93,4,52,1,0,0
Lamare Bogarde,Aston Villa,26,NED,RB,RB,20,90,0,0,0,0,0,0,0,0,73,5,1,1,0,0,0.1,4,0,56,62,90,4,47,0,1,0
Emiliano Martínez,Aston Villa,23,ARG,GK,GK,32,90,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,20,22,90,0,17,0,0,0
Dominic Calvert-Lewin,Everton,9,ENG,FW,FW,27,90,1,0,0,0,3,1,0,0,28,0,0,0,0.8,0.8,0,0,0,9,13,69,0,19,1,3,0
Iliman Ndiaye,Everton,10,SEN,LW,"LW,LM",24,80,0,0,0,0,0,0,1,0,25,0,1,1,0,0,0,1,0,11,14,78,2,14,4,8,3
Jesper Lindstrøm,Everton,29,DEN,RM,RM,24,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,11,63,1,7,1,0,0
Jack Harrison,Everton,11,ENG,RW,RW,27,63,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,1,1,9,10,90,0,10,1,3,1
Jake O'Brien,Everton,15,IRL,CB,"CB,RB",23,27,0,0,0,0,0,0,1,0,20,2,0,1,0,0,0,1,0,12,15,80,1,7,0,3,1
Dwight McNeil,Everton,7,ENG,AM,"AM,RM,LM",24,90,1,1,0,0,1,1,0,0,38,1,0,1,0,0,0.8,5,2,21,32,65,3,20,2,1,0
Tim Iroegbunam,Everton,42,ENG,DM,"DM,CM",21,80,0,0,0,0,0,0,1,0,21,3,1,0,0,0,0,0,0,14,15,93,1,8,0,2,1
Beto,Everton,14,GNB,FW,FW,26,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Idrissa Gana Gueye,Everton,27,SEN,DM,DM,34,63,0,0,0,0,0,0,0,0,18,2,2,1,0,0,0,0,0,8,10,80,0,3,0,0,0
Orel Mangala,Everton,8,BEL,CM,CM,26,27,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0,1,0,6,9,66,2,6,3,1,1
Vitaliy Mykolenko,Everton,19,UKR,LB,LB,25,25,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,4,25,0,1,0,0,0
James Garner,Everton,37,ENG,RB,"RB,CM",23,65,0,0,0,0,0,0,0,0,32,2,1,1,0,0,0,1,0,19,25,76,1,15,1,1,0
Michael Keane,Everton,5,ENG,CB,CB,31,90,0,0,0,0,1,0,0,0,42,2,0,1,0,0,0,0,0,21,29,72,0,16,0,0,0
James Tarkowski,Everton,6,ENG,CB,CB,31,90,0,0,0,0,0,0,0,0,29,5,1,1,0,0,0,0,0,16,20,80,0,9,0,0,0
Ashley Young,Everton,18,ENG,LB,"LB,RB",39,90,0,0,0,0,0,0,1,0,38,3,0,0,0,0,0,1,0,23,28,82,5,10,1,0,0
Jordan Pickford,Everton,1,ENG,GK,GK,30,90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,26,36,72,0,16,0,0,0
Evanilson,Bournemouth,9,BRA,FW,FW,24,67,0,0,0,1,2,0,0,0,16,0,0,0,0.9,0.1,0.2,3,0,4,7,57,0,8,0,1,0
Luis Sinisterra,Bournemouth,17,COL,FW,"FW,LW",25,23,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.1,1,0,5,6,83,0,6,1,2,0
Marcus Tavernier,Bournemouth,16,ENG,LW,LW,25,82,0,0,0,0,2,1,0,0,38,2,0,0,0.1,0.1,0.1,6,0,18,28,64,2,20,6,2,2
Enes Ünal,Bournemouth,26,TUR,FW,FW,27,8,0,0,0,0,2,2,0,0,4,0,0,1,0.1,0.1,0,2,0,1,1,100,1,1,0,0,0
Antoine Semenyo,Bournemouth,24,GHA,RW,RW,24,90,0,0,0,0,3,0,1,0,40,0,0,3,0.1,0.1,0,1,0,18,27,66,3,26,1,4,2
Justin Kluivert,Bournemouth,19,NED,AM,AM,25,74,0,0,0,0,2,2,1,0,29,1,2,0,0.3,0.3,0.1,4,0,9,20,45,3,14,2,3,2
Philip Billing,Bournemouth,29,DEN,AM,AM,28,16,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,1,0,5,11,45,0,8,0,0,0
Ryan Christie,Bournemouth,10,SCO,DM,DM,29,67,0,0,0,0,1,0,1,0,41,1,1,3,0.1,0.1,0,3,0,24,33,72,9,20,1,2,1
Alex Scott,Bournemouth,8,ENG,DM,DM,21,23,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,0,0,7,9,77,2,9,0,1,0
Lewis Cook,Bournemouth,4,ENG,DM,DM,27,90,0,0,0,0,3,1,1,0,42,1,1,0,0,0,0,4,0,26,36,72,7,22,0,1,1
Milos Kerkez,Bournemouth,3,HUN,LB,LB,20,90,0,0,0,0,2,0,0,0,41,2,2,0,0.1,0,0,1,0,22,31,71,0,15,0,0,0
Marcos Senesi,Bournemouth,5,ARG,CB,CB,27,90,0,0,0,0,0,0,1,0,52,3,1,2,0,0,0.1,3,0,26,39,66,3,26,0,1,0
Illia Zabarnyi,Bournemouth,27,UKR,CB,CB,22,90,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0.1,1,0,21,27,77,4,16,0,0,0
Adam Smith,Bournemouth,15,ENG,RB,RB,33,74,0,0,0,0,0,0,1,0,22,2,1,0,0,0,0,2,0,12,17,70,1,7,1,1,1
Julian Araujo,Bournemouth,22,MEX,RB,RB,23,16,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,5,7,71,1,2,0,0,0
Mark Travers,Bournemouth,42,IRL,GK,GK,25,90,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,18,61,0,14,0,0,0
Nicolas Jackson,Chelsea,15,SEN,FW,FW,23,78,0,0,0,0,3,1,1,0,26,0,0,1,0.3,0.3,0,0,0,11,14,78,2,15,1,1,0
Christopher Nkunku,Chelsea,18,FRA,FW,FW,26,12,1,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0,1,1,5,5,100,0,3,0,1,1
Pedro Neto,Chelsea,7,POR,LW,LW,24,45,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1,0,12,18,66,1,13,2,2,1
Jadon Sancho,Chelsea,19,ENG,LW,LW,24,45,0,1,0,0,0,0,1,0,37,0,0,0,0,0,0.4,3,1,25,30,83,6,24,2,4,2
Noni Madueke,Chelsea,11,ENG,RW,RW,22,61,0,0,0,0,3,0,0,0,26,0,1,0,0.1,0.1,0,1,0,14,19,73,0,16,2,4,3
João Félix,Chelsea,14,POR,AM,AM,24,29,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,1,0,16,21,76,2,17,2,1,0
Cole Palmer,Chelsea,20,ENG,AM,"AM,RW",22,90,0,0,0,0,0,0,0,0,43,2,0,0,0,0,0,1,0,26,34,76,3,28,1,5,2
Renato Veiga,Chelsea,40,POR,DM,DM,21,90,0,0,0,0,2,1,1,0,69,3,0,1,0,0,0,1,0,53,59,89,4,35,2,2,2
Moisés Caicedo,Chelsea,25,ECU,DM,DM,22,90,0,0,0,0,1,0,0,0,77,4,2,1,0,0,0,0,0,53,61,86,4,48,2,1,0
Marc Cucurella,Chelsea,3,ESP,LB,LB,26,90,0,0,0,0,0,0,1,0,58,1,1,1,0,0,0,3,0,38,48,79,2,15,1,0,0
Levi Colwill,Chelsea,6,ENG,CB,CB,21,90,0,0,0,0,0,0,1,0,71,0,0,2,0,0,0,3,0,53,62,85,7,31,2,0,0
Wesley Fofana,Chelsea,29,FRA,CB,CB,23,90,0,0,0,0,0,0,1,0,104,1,1,1,0,0,0.1,2,0,89,97,91,2,61,0,1,1
Axel Disasi,Chelsea,2,FRA,RB,RB,26,60,0,0,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,50,57,87,5,38,0,0,0
Tosin Adarabioyo,Chelsea,4,ENG,RB,RB,26,30,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,1,0,37,41,90,2,24,0,0,0
Robert Sánchez,Chelsea,1,ESP,GK,GK,26,90,0,0,0,0,0,0,1,0,57,0,0,0,0,0,0,0,0,40,53,75,0,33,0,0,0
Dominic Solanke,Tottenham Hotspur,19,ENG,FW,FW,27,90,0,0,0,0,2,0,0,0,27,2,0,1,0.2,0.2,0,2,0,11,15,73,2,18,1,2,0
Son Heung-min,Tottenham Hotspur,7,KOR,LW,"LW,AM",32,90,0,0,0,0,1,0,0,0,54,0,1,1,0,0,0.1,5,0,39,46,84,4,34,1,4,2
Brennan Johnson,Tottenham Hotspur,22,WAL,RW,RW,23,67,0,0,0,0,4,1,0,0,23,0,0,2,0.2,0.2,0,1,0,14,15,93,1,19,5,2,1
Wilson Odobert,Tottenham Hotspur,28,FRA,RW,RW,19,23,0,0,0,0,1,0,0,0,14,0,0,1,0,0,0,1,0,7,11,63,2,11,4,1,0
James Maddison,Tottenham Hotspur,10,ENG,LM,LM,27,79,0,0,0,0,0,0,0,0,66,2,2,0,0,0,0.2,3,0,50,60,83,4,46,0,2,1
Timo Werner,Tottenham Hotspur,16,GER,LW,LW,28,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,5,10,50,0,6,3,2,1
Rodrigo Bentancur,Tottenham Hotspur,30,URU,CM,CM,27,67,0,0,0,0,0,0,1,0,56,0,2,1,0,0,0,1,0,49,51,96,8,45,1,0,0
Pape Matar Sarr,Tottenham Hotspur,29,SEN,DM,"DM,CM",22,23,0,0,0,0,2,1,0,0,32,2,1,1,0.1,0.1,0,4,0,21,25,84,2,19,0,2,0
Dejan Kulusevski,Tottenham Hotspur,21,SWE,RM,"RM,DM",24,90,0,0,0,0,3,1,1,0,42,3,1,0,0.1,0.1,0,5,0,17,29,58,4,29,4,3,1
Destiny Udogie,Tottenham Hotspur,13,ITA,LB,LB,21,90,0,0,0,0,0,0,1,0,68,3,0,0,0,0,0,1,0,52,57,91,9,41,5,3,1
Micky van de Ven,Tottenham Hotspur,37,NED,CB,CB,23,90,0,0,0,0,1,1,1,0,82,1,1,0,0,0,0,0,0,61,69,88,6,56,1,1,0
Cristian Romero,Tottenham Hotspur,17,ARG,CB,CB,26,90,0,0,0,0,1,1,0,0,84,2,1,3,0,0,0,1,0,70,73,95,3,64,1,0,0
Pedro Porro,Tottenham Hotspur,23,ESP,RB,RB,25,90,0,0,0,0,0,0,0,0,83,4,0,3,0,0,0.1,4,0,52,66,78,10,45,6,2,0
Guglielmo Vicario,Tottenham Hotspur,1,ITA,GK,GK,27,90,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,22,26,84,1,19,0,0,0
Leandro Trossard,Arsenal,19,BEL,FW,FW,29,79,0,0,0,0,1,0,0,0,22,1,1,0,0.1,0.1,0.2,2,0,13,17,76,4,11,0,1,1
Gabriel Jesus,Arsenal,9,BRA,RW,"RW,FW",27,11,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,0,3,0,1,0
Kai Havertz,Arsenal,29,GER,FW,"FW,LM",25,90,0,0,0,0,2,2,0,0,49,2,1,4,0.2,0.2,0,1,0,18,28,64,1,14,2,3,1
Gabriel Martinelli,Arsenal,11,BRA,LM,LM,23,79,0,0,0,0,1,1,0,0,35,3,0,2,0.2,0.2,0.2,3,0,15,23,65,2,15,4,8,6
Raheem Sterling,Arsenal,30,ENG,LW,LW,29,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,50,0,3,0,0,0
Jorginho,Arsenal,20,ITA,CM,CM,32,90,0,0,0,0,0,0,1,0,28,1,0,0,0,0,0,1,0,19,24,79,1,15,0,0,0
Thomas Partey,Arsenal,5,GHA,CM,"CM,RM",31,90,0,0,0,0,0,0,0,0,34,3,2,1,0,0,0,0,0,17,21,81,1,6,0,1,0
Bukayo Saka,Arsenal,7,ENG,RM,"RM,RW",23,85,0,1,0,0,1,0,0,0,40,2,0,1,0.1,0.1,0.3,3,2,22,31,71,1,19,2,4,2
Ethan Nwaneri,Arsenal,53,ENG,FW,FW,17,5,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,5,60,1,4,1,1,1
Jurriën Timber,Arsenal,12,NED,LB,LB,23,90,0,0,0,0,1,0,1,0,47,3,1,2,0.1,0.1,0,1,0,17,33,51,3,14,3,2,1
Gabriel Magalhães,Arsenal,6,BRA,CB,CB,26,90,1,0,0,0,1,1,0,0,39,2,1,3,0.2,0.2,0,0,0,20,25,80,0,12,0,0,0
William Saliba,Arsenal,2,FRA,CB,CB,23,90,0,0,0,0,0,0,1,0,44,2,0,2,0,0,0,1,0,34,35,97,2,19,0,0,0
Ben White,Arsenal,4,ENG,RB,RB,26,90,0,0,0,0,0,0,0,0,48,2,2,0,0,0,0,0,0,31,38,81,1,11,0,1,0
David Raya,Arsenal,22,ESP,GK,GK,29,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,25,38,65,0,14,0,0,0
Jørgen Strand Larsen,Wolverhampton Wanderers,9,NOR,FW,FW,24,85,0,1,0,0,2,1,0,0,21,0,0,1,0.2,0.2,0.4,1,1,4,14,28,0,11,1,0,0
Gonçalo Guedes,Wolverhampton Wanderers,29,POR,FW,FW,27,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,66,0,3,0,0,0
Matheus Cunha,Wolverhampton Wanderers,10,BRA,RM,"RM,FW",25,90,0,0,0,0,4,2,0,0,47,1,1,0,0.2,0.2,0,3,1,19,31,61,3,24,2,6,3
Jean-Ricner Bellegarde,Wolverhampton Wanderers,27,FRA,LM,LM,26,70,0,0,0,0,1,0,0,0,28,2,3,0,0.1,0.1,0,3,0,15,18,83,0,19,2,4,1
Hwang Hee-chan,Wolverhampton Wanderers,11,KOR,LM,LM,28,20,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,8,8,100,0,6,0,0,0
João Gomes,Wolverhampton Wanderers,8,BRA,CM,CM,23,90,0,0,0,0,1,0,0,0,60,5,0,1,0.1,0.1,0,1,0,50,54,92,3,38,2,0,0
André,Wolverhampton Wanderers,7,BRA,CM,CM,23,76,0,0,0,0,0,0,1,0,44,2,0,2,0,0,0.1,2,0,40,40,100,3,36,0,1,1
Tommy Doyle,Wolverhampton Wanderers,20,ENG,CM,CM,22,14,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,18,20,90,4,14,0,0,0
Mario Lemina,Wolverhampton Wanderers,5,GAB,FW,"FW,RM,LB",31,90,1,0,0,0,2,1,0,0,44,1,2,0,0.6,0.6,0.2,5,0,31,37,83,5,22,1,2,2
Rayan Aït-Nouri,Wolverhampton Wanderers,3,ALG,LB,LB,23,85,0,0,0,0,0,0,1,0,60,2,1,1,0,0,0,0,0,41,49,83,3,29,2,4,4
Carlos Forbs,Wolverhampton Wanderers,26,POR,RM,"RM,LB",20,5,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,4,10,40,1,9,0,1,1
Craig Dawson,Wolverhampton Wanderers,15,ENG,CB,CB,34,90,0,0,0,0,0,0,0,0,64,0,0,3,0,0,0,1,0,46,58,79,2,36,1,0,0
Yerson Mosquera,Wolverhampton Wanderers,14,COL,CB,CB,23,90,0,0,0,0,1,0,0,0,71,5,3,3,0.1,0.1,0,2,0,46,56,82,3,34,0,0,0
Nélson Semedo,Wolverhampton Wanderers,22,POR,RB,RB,30,76,0,0,0,0,1,1,1,0,36,3,0,0,0,0,0.1,4,0,23,25,92,2,22,2,5,3
Matt Doherty,Wolverhampton Wanderers,2,IRL,RB,RB,32,14,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,9,13,69,2,6,0,0,0
Sam Johnstone,Wolverhampton Wanderers,31,ENG,GK,GK,31,90,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,33,47,70,0,32,0,0,0
Alexander Isak,Newcastle United,14,SWE,FW,FW,24,45,0,0,0,0,1,0,0,0,18,0,0,1,0.1,0.1,0.1,1,0,9,12,75,1,12,1,1,0
Harvey Barnes,Newcastle United,11,ENG,LW,LW,26,45,1,0,0,0,3,1,0,0,23,0,0,0,0.5,0.5,0.4,5,1,12,16,75,4,17,5,3,2
Anthony Gordon,Newcastle United,10,ENG,FW,"FW,LW",23,90,0,0,0,0,2,0,0,0,49,0,1,2,0.2,0.2,0.1,4,0,33,35,94,0,43,3,8,5
Jacob Murphy,Newcastle United,23,ENG,RW,RW,29,90,0,0,0,0,1,1,1,0,36,0,0,2,0.1,0.1,0,3,0,20,30,66,5,25,4,1,0
Joelinton,Newcastle United,7,BRA,LM,LM,28,45,0,0,0,0,0,0,1,0,35,2,1,0,0,0,0,1,0,26,30,86,4,22,0,1,0
Joe Willock,Newcastle United,28,ENG,LM,"LM,CM",25,45,0,1,0,0,1,0,0,0,20,2,0,0,0.1,0.1,0.6,8,2,12,14,85,4,14,5,3,1
Bruno Guimarães,Newcastle United,39,BRA,CM,CM,26,86,0,1,0,0,1,1,0,0,46,0,0,1,0,0,0,2,1,34,39,87,5,35,2,2,2
Lloyd Kelly,Newcastle United,25,ENG,CB,CB,25,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,75,1,3,0,0,0
Sean Longstaff,Newcastle United,36,ENG,RM,RM,26,45,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,19,21,90,3,14,0,0,0
Sandro Tonali,Newcastle United,8,ITA,RM,"RM,CM",24,45,0,0,0,0,2,2,0,0,22,1,2,0,0.4,0.4,0,1,0,15,16,93,4,14,0,1,0
Lewis Hall,Newcastle United,20,ENG,LB,"LB,LM",20,90,0,0,0,0,0,0,0,0,99,2,0,1,0,0,0.1,1,0,81,91,89,13,68,5,2,2
Dan Burn,Newcastle United,33,ENG,CB,CB,32,90,0,0,0,0,1,0,1,0,78,2,0,0,0,0,0,1,0,68,70,97,0,49,0,0,0
Fabian Schär,Newcastle United,5,SUI,CB,CB,32,90,1,0,0,0,2,1,0,0,64,0,1,0,0.1,0.1,0,0,0,43,51,84,2,40,0,0,0
Valentino Livramento,Newcastle United,21,ENG,RB,RB,21,63,0,0,0,0,0,0,0,0,33,5,0,2,0,0,0,0,0,22,24,91,0,13,0,0,0
Kieran Trippier,Newcastle United,2,ENG,RB,"RB,RM",33,27,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,13,18,72,1,8,1,0,0
Nick Pope,Newcastle United,22,ENG,GK,GK,32,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,24,34,70,0,21,0,0,0
Jarrod Bowen,West Ham United,20,ENG,FW,"FW,RW",27,90,0,0,0,0,2,1,0,0,32,1,1,0,0.1,0.1,0,3,0,18,25,72,6,20,8,3,2
Crysencio Summerville,West Ham United,7,NED,LW,LW,22,53,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,2,0,13,15,86,0,15,1,2,1
Michail Antonio,West Ham United,9,JAM,FW,FW,34,37,0,0,0,0,1,1,1,0,14,0,0,0,0.1,0.1,0,1,0,6,9,66,0,8,2,2,0
Mohammed Kudus,West Ham United,14,GHA,RW,"RW,LW",24,90,0,0,0,0,3,2,0,0,37,0,0,0,0.2,0.2,0,3,0,18,25,72,3,29,7,10,5
Emerson Palmieri,West Ham United,33,ITA,LM,"LM,LB",30,72,0,0,0,0,0,0,0,0,34,1,1,2,0,0,0.1,2,0,24,29,82,3,18,2,1,0
Aaron Cresswell,West Ham United,3,ENG,LB,LB,34,18,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,1,0,16,20,80,3,14,1,0,0
Lucas Paquetá,West Ham United,10,BRA,CM,"CM,LM",27,72,0,0,0,0,2,0,0,0,57,0,0,0,0.1,0.1,0,2,0,32,47,68,6,39,2,3,1
Andy Irving,West Ham United,39,SCO,LM,LM,24,18,0,0,0,0,1,1,0,0,25,2,0,0,0,0,0,1,0,21,21,100,2,18,0,0,0
Guido Rodríguez,West Ham United,24,ARG,CM,CM,30,37,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,1,0,21,25,84,4,21,0,0,0
Tomáš Souček,West Ham United,28,CZE,CM,CM,29,53,0,0,0,0,1,1,1,0,46,1,2,0,0.1,0.1,0.1,0,0,36,38,94,5,27,0,0,0
Aaron Wan-Bissaka,West Ham United,29,ENG,RM,"RM,RB",26,90,0,0,0,0,0,0,0,0,64,3,0,3,0,0,0.1,4,0,46,55,83,8,39,3,3,0
Max Kilman,West Ham United,26,ENG,CB,CB,27,90,0,0,0,0,0,0,1,0,78,0,1,0,0,0,0.1,1,0,66,71,93,11,53,2,0,0
Edson Álvarez,West Ham United,19,MEX,CB,CB,26,53,0,0,0,0,1,0,1,0,49,1,0,1,0,0,0.1,3,0,42,45,93,3,34,1,0,0
Carlos Soler,West Ham United,4,ESP,RM,RM,27,37,0,0,0,0,2,1,1,0,23,0,0,0,0.1,0.1,0,0,0,17,21,81,3,20,1,0,0
Konstantinos Mavropanos,West Ham United,15,GRE,CB,CB,26,90,0,0,0,0,2,0,0,0,75,4,3,2,0.1,0.1,0,3,0,56,63,88,4,46,0,0,0
Alphonse Areola,West Ham United,23,FRA,GK,GK,31,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,31,33,93,0,21,0,0,0
Nicolas Jackson,Chelsea,15,SEN,FW,FW,23,63,2,1,0,0,4,2,0,0,28,0,1,0,0.8,0.8,0.4,3,2,14,17,82,2,22,5,2,0
Christopher Nkunku,Chelsea,18,FRA,FW,FW,26,27,0,0,0,0,1,1,0,0,13,0,0,0,0.6,0.6,0,2,0,10,11,90,0,11,0,0,0
Jadon Sancho,Chelsea,19,ENG,LW,LW,24,56,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0.3,2,1,18,20,90,1,16,1,1,0
Pedro Neto,Chelsea,7,POR,LW,LW,24,34,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,1,0,16,23,69,1,19,3,4,3
Noni Madueke,Chelsea,11,ENG,RW,RW,22,90,0,0,0,0,2,1,0,0,32,0,1,0,0.2,0.2,0,2,0,17,21,81,0,19,6,0,0
Cole Palmer,Chelsea,20,ENG,AM,AM,22,63,1,0,0,0,2,1,0,0,27,1,0,0,0.4,0.4,0.1,1,0,15,19,78,2,25,4,2,0
João Félix,Chelsea,14,POR,AM,AM,24,27,0,0,0,0,2,0,0,0,23,1,0,0,0.2,0.2,0,0,0,12,15,80,3,16,1,4,0
Enzo Fernández,Chelsea,8,ARG,DM,DM,23,83,0,0,0,0,0,0,0,0,55,1,1,1,0,0,0.2,3,1,41,46,89,6,33,1,2,0
Kiernan Dewsbury-Hall,Chelsea,22,ENG,DM,DM,26,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.1,1,0,6,8,75,1,7,1,1,1
Moisés Caicedo,Chelsea,25,ECU,DM,DM,22,90,0,1,0,0,1,0,0,0,72,8,1,2,0.1,0.1,0.4,3,2,48,56,85,3,37,0,1,0
Marc Cucurella,Chelsea,3,ESP,LB,LB,26,90,0,0,0,0,0,0,1,0,54,3,2,2,0,0,0,1,0,37,39,94,0,21,0,0,0
Levi Colwill,Chelsea,6,ENG,CB,CB,21,90,0,0,0,0,0,0,0,0,72,0,1,1,0,0,0.6,1,0,55,62,88,2,44,0,0,0
Tosin Adarabioyo,Chelsea,4,ENG,CB,CB,26,90,0,0,0,0,0,0,0,0,65,1,1,2,0,0,0,1,0,50,56,89,0,42,0,1,1
Wesley Fofana,Chelsea,29,FRA,RB,RB,23,56,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,1,0,22,26,84,1,19,1,0,0
Axel Disasi,Chelsea,2,FRA,RB,RB,26,34,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,0,0,14,17,82,0,8,1,1,1
Robert Sánchez,Chelsea,1,ESP,GK,GK,26,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,35,43,81,0,37,0,0,0
Darwin Núñez,Liverpool,9,URU,FW,FW,25,71,1,0,0,0,3,2,0,0,18,4,0,0,0.3,0.3,0,1,1,6,10,60,2,16,4,0,0
Federico Chiesa,Liverpool,14,ITA,FW,FW,26,19,0,0,0,0,2,1,0,0,12,0,0,0,0.2,0.2,0,2,0,7,8,87,0,11,1,1,0
Luis Díaz,Liverpool,7,COL,LW,LW,27,71,2,0,0,0,4,4,0,0,44,0,0,1,0.6,0.6,0,7,0,31,33,93,3,34,1,5,3
Cody Gakpo,Liverpool,18,NED,LW,LW,25,19,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0.3,2,0,6,7,85,0,7,0,1,1
Mohamed Salah,Liverpool,11,EGY,RW,RW,32,90,0,1,0,0,4,3,0,0,37,0,0,0,0.6,0.6,0.5,12,2,20,25,80,4,39,4,7,5
Dominik Szoboszlai,Liverpool,8,HUN,AM,AM,23,60,0,0,0,0,1,0,0,0,51,0,0,1,0,0,0,1,0,40,45,88,1,36,0,1,1
Curtis Jones,Liverpool,17,ENG,AM,AM,23,30,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0,0,0,19,19,100,1,20,1,2,2
Alexis Mac Allister,Liverpool,10,ARG,DM,DM,25,90,0,0,0,0,1,1,0,0,72,6,0,2,0,0,0.4,3,0,54,58,93,10,47,4,0,0
Ryan Gravenberch,Liverpool,38,NED,DM,DM,22,90,0,0,0,0,1,1,0,0,91,2,1,1,0,0,0.1,2,0,75,85,88,9,64,5,1,1
Andrew Robertson,Liverpool,26,SCO,LB,LB,30,90,0,0,0,0,1,0,0,0,76,2,0,0,0.1,0.1,0.2,2,0,62,70,88,2,53,4,1,1
Virgil van Dijk,Liverpool,4,NED,CB,CB,33,90,0,0,0,0,0,0,0,0,58,0,2,0,0,0,0,0,0,48,48,100,1,31,1,0,0
Ibrahima Konaté,Liverpool,5,FRA,CB,CB,25,90,0,1,0,0,0,0,1,0,123,0,0,3,0,0,0.1,3,1,96,110,87,2,84,1,0,0
Trent Alexander-Arnold,Liverpool,66,ENG,RB,RB,25,90,0,1,0,0,0,0,0,0,69,4,3,0,0,0,0.3,2,1,42,57,73,4,45,4,2,2
